results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
9.78,-0.4,Tyson GAY,82,USA,F,1.0,"Crystal Palace, London (GBR)",13.08,1285
9.79,0.1,Tyson GAY,82,USA,F,1.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1280
9.82,0.6,Asafa POWELL,82,JAM,F,1.0,"Stadio Olimpico, Roma (ITA)",10.06,1269
9.82,0.5,Usain BOLT,86,JAM,F,1.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",8.07,1269
9.84,-0.3,Usain BOLT,86,JAM,F,1.0,"Stade de France, Paris-St-Denis (FRA)",16.07,1263
9.84,0.0,Tyson GAY,82,USA,F,1.0,"Olympiastadion, Stockholm (SWE)",6.08,1262
9.85,0.1,Nesta CARTER,85,JAM,F,2.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1259
9.89,-0.4,Yohan BLAKE,89,JAM,F,2.0,"Crystal Palace, London (GBR)",13.08,1247
9.91,-0.3,Asafa POWELL,82,JAM,F,2.0,"Stade de France, Paris-St-Denis (FRA)",16.07,1239
9.91,0.1,Yohan BLAKE,89,JAM,F,3.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1238
9.94,-1.7,Tyson GAY,82,USA,F,1.0,"International Stadium, Gateshead (GBR)",10.07,1237
9.95,-0.3,Yohan BLAKE,89,JAM,F,3.0,"Stade de France, Paris-St-Denis (FRA)",16.07,1225
9.95,-0.8,Trell KIMMONS,85,USA,F2,1.0,"Letzigrund, Zürich (SUI)",19.08,1228
9.96,0.5,Yohan BLAKE,89,JAM,F,2.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",8.07,1220
9.96,-1.6,Tyson GAY,82,USA,H1,1.0,"International Stadium, Gateshead (GBR)",10.07,1229
9.96,-1.7,Asafa POWELL,82,JAM,F,2.0,"International Stadium, Gateshead (GBR)",10.07,1230
9.97,0.0,Usain BOLT,86,JAM,F,2.0,"Olympiastadion, Stockholm (SWE)",6.08,1217
10.0,1.4,Rae Monzavous EDWARDS,81,USA,F2,1.0,"Icahn Stadium, New York, NY (USA)",12.06,1206
10.0,-0.3,Daniel BAILEY,86,ANT,F,4.0,"Stade de France, Paris-St-Denis (FRA)",16.07,1207
10.01,1.4,Keston BLEDMAN,88,TTO,F2,2.0,"Icahn Stadium, New York, NY (USA)",12.06,1203
10.02,-0.1,Tyson GAY,82,USA,H2,1.0,"Olympiastadion, Stockholm (SWE)",6.08,1199
10.02,-0.4,Tyson GAY,82,USA,H1,1.0,"Crystal Palace, London (GBR)",13.08,1201
10.05,1.2,Asafa POWELL,82,JAM,H2,1.0,"Bislett Stadion, Oslo (NOR)",4.06,1189
10.05,-0.4,Richard THOMPSON,85,TTO,F,3.0,"Crystal Palace, London (GBR)",13.08,1191
