,Unnamed: 0,results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
0,0,9.78,-0.4,Tyson GAY,82,USA,F,1.0,"Crystal Palace, London (GBR)",13.08,1285
1,1,9.79,0.1,Tyson GAY,82,USA,F,1.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1280
2,2,9.82,0.6,Asafa POWELL,82,JAM,F,1.0,"Stadio Olimpico, Roma (ITA)",10.06,1269
3,3,9.82,0.5,Usain BOLT,86,JAM,F,1.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",8.07,1269
4,4,9.84,-0.3,Usain BOLT,86,JAM,F,1.0,"Stade de France, Paris-St-Denis (FRA)",16.07,1263
5,5,9.84,0.0,Tyson GAY,82,USA,F,1.0,"Olympiastadion, Stockholm (SWE)",6.08,1262
6,6,9.85,0.1,Nesta CARTER,85,JAM,F,2.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1259
7,7,9.89,-0.4,Yohan BLAKE,89,JAM,F,2.0,"Crystal Palace, London (GBR)",13.08,1247
8,8,9.91,-0.3,Asafa POWELL,82,JAM,F,2.0,"Stade de France, Paris-St-Denis (FRA)",16.07,1239
9,9,9.91,0.1,Yohan BLAKE,89,JAM,F,3.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1238
10,10,9.94,-1.7,Tyson GAY,82,USA,F,1.0,"International Stadium, Gateshead (GBR)",10.07,1237
11,11,9.95,-0.3,Yohan BLAKE,89,JAM,F,3.0,"Stade de France, Paris-St-Denis (FRA)",16.07,1225
12,12,9.95,-0.8,Trell KIMMONS,85,USA,F2,1.0,"Letzigrund, Zürich (SUI)",19.08,1228
13,13,9.96,0.5,Yohan BLAKE,89,JAM,F,2.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",8.07,1220
14,14,9.96,-1.6,Tyson GAY,82,USA,H1,1.0,"International Stadium, Gateshead (GBR)",10.07,1229
