results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
9.74,+0.9,Justin GATLIN,82,USA,F,1,"Suhaim bin Hamad Stadium, Doha (QAT)",15.05,1298
9.75,+0.9,Justin GATLIN,82,USA,F1,1,"Stadio Olimpico, Roma (ITA)",04.06,1294
9.75,+1.4,Justin GATLIN,82,USA,F,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",09.07,1294
9.78,-0.3,Justin GATLIN,82,USA,F,1,"Stade Louis II, Monaco (MON)",17.07,1284
9.81,+1.3,Asafa POWELL,82,JAM,F,1,Paris (FRA),04.07,1273
9.86,+1.3,Jimmy VICAUT,92,FRA,F,2,Paris (FRA),04.07,1255
9.87,-1.2,Usain BOLT,86,JAM,H2,1,"Olympic Stadium, London (GBR)",24.07,1259
9.87,-0.8,Usain BOLT,86,JAM,F,1,"Olympic Stadium, London (GBR)",24.07,1256
9.88,+1.5,Tyson GAY,82,USA,F,1,"Hayward Field, Eugene, OR (USA)",30.05,1248
9.90,+1.5,Michael RODGERS,85,USA,F,2,"Hayward Field, Eugene, OR (USA)",30.05,1241
9.90,-0.8,Michael RODGERS,85,USA,F,2,"Olympic Stadium, London (GBR)",24.07,1245
9.92,+1.4,Asafa POWELL,82,JAM,F,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",09.07,1234
9.92,+1.4,Tyson GAY,82,USA,F,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",09.07,1234
9.92,-1.2,Michael RODGERS,85,USA,H2,2,"Olympic Stadium, London (GBR)",24.07,1241
9.92,-0.8,Kemar BAILEY-COLE,92,JAM,F,3,"Olympic Stadium, London (GBR)",24.07,1238
9.93,+2.0,Marvin BRACY-WILLIAMS,93,USA,F,1,"Alexander Stadium, Birmingham (GBR)",07.06,1231
9.96,+0.9,Michael RODGERS,85,USA,F,2,"Suhaim bin Hamad Stadium, Doha (QAT)",15.05,1220
9.96,-0.8,Chijindu UJAH,94,GBR,F,4,"Olympic Stadium, London (GBR)",24.07,1224
