,results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
0,9.95,+0.7,Usain BOLT,86,JAM,F,1,"Stade Louis II, Monaco (MON)",21.07,1224
1,9.96,+0.2,Justin GATLIN,82,USA,F,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",06.07,1220
2,9.97,0.0,Chijindu UJAH,94,GBR,F,1,"Letzigrund, Zürich (SUI)",24.08,1217
3,9.97,0.0,Ben Youssef MEITÉ,86,CIV,F,2,"Letzigrund, Zürich (SUI)",24.08,1217
4,9.98,+0.2,Ben Youssef MEITÉ,86,CIV,F,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",06.07,1213
5,9.98,-0.3,Chijindu UJAH,94,GBR,F,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16.07,1214
6,9.98,+0.7,Isiah YOUNG,90,USA,F,2,"Stade Louis II, Monaco (MON)",21.07,1213
7,9.99,-1.2,Akani SIMBINE,93,RSA,F,1,"Suhaim bin Hamad Stadium, Doha (QAT)",05.05,1217
8,9.99,-0.1,Ben Youssef MEITÉ,86,CIV,F,1,"Stade Charléty, Paris (FRA)",01.07,1210
9,9.99,+0.2,Akani SIMBINE,93,RSA,F,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",06.07,1210
10,10.00,+0.2,Isiah YOUNG,90,USA,F,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",06.07,1206
11,10.01,+0.2,Andre DE GRASSE,94,CAN,F,1,"Bislett Stadion, Oslo (NOR)",15.06,1203
12,10.01,-0.3,Ben Youssef MEITÉ,86,CIV,F,2,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16.07,1204
13,10.01,0.0,Ronnie BAKER,93,USA,F,3,"Letzigrund, Zürich (SUI)",24.08,1203
14,10.02,-0.2,Chijindu UJAH,94,GBR,F,1,"Stadio Olimpico, Roma (ITA)",08.06,1200
15,10.02,+0.2,Chijindu UJAH,94,GBR,F,2,"Bislett Stadion, Oslo (NOR)",15.06,1199
16,10.02,+0.3,Chijindu UJAH,94,GBR,F,1,"Olympic Stadium, London (GBR)",09.07,1199
17,10.02,+0.7,Akani SIMBINE,93,RSA,F,3,"Stade Louis II, Monaco (MON)",21.07,1199
18,10.02,+0.7,Chijindu UJAH,94,GBR,F,4,"Stade Louis II, Monaco (MON)",21.07,1199
19,10.02,+0.2,Yohan BLAKE,89,JAM,F,1,"Boudewijnstadion, Bruxelles (BEL)",01.09,1199
20,10.03,+0.2,Ben Youssef MEITÉ,86,CIV,F,3,"Bislett Stadion, Oslo (NOR)",15.06,1196
21,10.04,0.0,Justin GATLIN,82,USA,F,4,"Letzigrund, Zürich (SUI)",24.08,1193
22,10.05,-0.2,Jimmy VICAUT,92,FRA,F,2,"Stadio Olimpico, Roma (ITA)",08.06,1190
23,10.05,-0.2,Ronnie BAKER,93,USA,F,3,"Stadio Olimpico, Roma (ITA)",08.06,1190
24,10.05,-0.1,Yunier PÉREZ,85,CUB,F,2,"Stade Charléty, Paris (FRA)",01.07,1189
25,10.06,+0.3,James DASAOLU,87,GBR,F,2,"Olympic Stadium, London (GBR)",09.07,1186
26,10.06,+0.7,Bingtian SU,89,CHN,F,5,"Stade Louis II, Monaco (MON)",21.07,1186
27,10.06,+0.7,Michael RODGERS,85,USA,F,6,"Stade Louis II, Monaco (MON)",21.07,1186
28,10.07,+0.3,Isiah YOUNG,90,USA,F,3,"Olympic Stadium, London (GBR)",09.07,1182
29,10.08,-1.2,Asafa POWELL,82,JAM,F,2,"Suhaim bin Hamad Stadium, Doha (QAT)",05.05,1186
30,10.08,-0.2,Chijindu UJAH,94,GBR,F,1,"Alexander Stadium, Birmingham (GBR)",20.08,1180
31,10.09,+0.1,Bingtian SU,89,CHN,F,1,"Shanghai Stadium, Shanghai (CHN)",13.05,1176
32,10.09,+0.2,Michael RODGERS,85,USA,F,2,"Boudewijnstadion, Bruxelles (BEL)",01.09,1176
33,10.10,-0.2,Ben Youssef MEITÉ,86,CIV,F,4,"Stadio Olimpico, Roma (ITA)",08.06,1173
34,10.10,0.0,Isiah YOUNG,90,USA,F,5,"Letzigrund, Zürich (SUI)",24.08,1172
35,10.10,0.0,Akani SIMBINE,93,RSA,F,6,"Letzigrund, Zürich (SUI)",24.08,1172
36,10.11,-0.2,James DASAOLU,87,GBR,F,2,"Alexander Stadium, Birmingham (GBR)",20.08,1170
37,10.11,0.0,Asafa POWELL,82,JAM,F,7,"Letzigrund, Zürich (SUI)",24.08,1169
38,10.12,+0.2,James DASAOLU,87,GBR,F,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",06.07,1165
39,10.12,+0.7,Christopher BELCHER,94,USA,F,7,"Stade Louis II, Monaco (MON)",21.07,1165
40,10.12,+0.2,Julian FORTE,93,JAM,F,3,"Boudewijnstadion, Bruxelles (BEL)",01.09,1165
41,10.13,-1.2,Femi OGUNODE,91,QAT,F,3,"Suhaim bin Hamad Stadium, Doha (QAT)",05.05,1169
42,10.13,+0.1,Michael RODGERS,85,USA,F,2,"Shanghai Stadium, Shanghai (CHN)",13.05,1162
43,10.13,+0.2,Adam GEMILI,93,GBR,F,4,"Bislett Stadion, Oslo (NOR)",15.06,1162
44,10.13,-0.2,Zharnel HUGHES,95,GBR,F,3,"Alexander Stadium, Birmingham (GBR)",20.08,1163
45,10.13,0.0,Adam GEMILI,93,GBR,F,8,"Letzigrund, Zürich (SUI)",24.08,1162
46,10.14,-1.2,Justin GATLIN,82,USA,F,4,"Suhaim bin Hamad Stadium, Doha (QAT)",05.05,1166
47,10.14,-0.2,Michael RODGERS,85,USA,F,5,"Stadio Olimpico, Roma (ITA)",08.06,1160
48,10.15,+0.1,Ben Youssef MEITÉ,86,CIV,F,3,"Shanghai Stadium, Shanghai (CHN)",13.05,1155
49,10.15,+0.2,Aaron BROWN,92,CAN,F,5,"Bislett Stadion, Oslo (NOR)",15.06,1155
50,10.15,+0.2,Henricho BRUINTJIES,93,RSA,F,6,"Stade Olympique de la Pontaise, Lausanne (SUI)",06.07,1155
